0x2N420652H1845865,40F0
0x6T822053C3918352,AFCB
0x2H695934Z9868516,6CDB
0x2R670443R8054566,8A39
0x0H502428M4514856,E270
0x3U098041M3142373,E646
0x7P059298V2939701,55B3
0x6L537322A8571979,C733
0x5N780506B0995819,A743
0x7J370985X2119848,5681
0x7B789679V0241452,0496
0x3O010542M7070291,34A5
0x0F089542U1648817,AE39
0x0J012134J1840557,467F
0x4D818236B2713034,DA78
0x9X879887S1499593,8506
0x0P058698Q6801974,B730
0x1J175440N3149515,00D0
0x1E681560R6656377,EE5F
0x1U466787N9487854,C9C8
0x6W735996A8071895,1A61
0x5Q730256T4946198,B694
0x6F371359G6463016,35E8
0x8J183560I6532893,C8A5
0x0E920760O3060508,0B28
0x8U158518L2596821,92E3
0x3P164533U2721853,4E4F
0x3K041711T5968122,5ABB
0x8Y910378E2053937,1063
0x5I313118M3445588,DE63
0x2Z670359Z9967971,79BD
0x1K079672V8018908,5518
0x0G057342V8857986,746D
0x1I974580U7194393,6C33
0x8W423269Q8189544,1B87
0x7E989333D6070738,FB14
0x1R221342C2935768,4552
0x8N848567D7021043,9184
0x3I323070V0005766,C656
0x8N444046H9059498,D56D
0x3S376054E8608475,0977
0x6B894705A9453566,D689
0x5W172483G1863766,AA2A
0x0A295667J3060197,AEF6
0x3E214770Y8526533,EF6A
0x4H601922T8126359,3CFB
0x5Q599960S6408740,8F60
0x3H507819N9164549,6973
0x7A061496C2155241,CCCE
0x6L571849G8378786,DDF5
0x6E717916Y0530664,8180
0x7C810912P8409198,4443
0x4E502980V0042517,B78F
0x1C641913A6486324,0A08
0x3D556830U1675558,71D2
0x0X839195O2697592,C92A
0x2W847076L3094934,F55E
0x9I521426E0886247,528F
0x7L520760M6239375,48B5
0x0I703341C2689171,0ED5
0x4F090749W4933504,8707
0x0T212137F8275555,EF91
0x8Q258352M6286625,4DDF
0x5T790181B6058681,B706
0x2E647697U6049930,D4B8
0x6R058652Y9719297,9DD3
0x5R636668R5932153,F88F
0x9U195463B1209853,C4BA
0x4E737276N1857914,0123
0x7I885189U0970312,060E
0x3G451507U0312145,5164
0x3P136491V8365597,96C5
0x5P488433F3047909,9E29
0x2X441110T8943235,5F51
0x6T398111T2648076,E5DB
0x6U255130H0689023,BC8F
0x8E739661R6521784,E526
0x9N101384E0966433,B67E
0x8H177213X0084825,5469
0x4B977531A1160290,AFBE
0x2C824086W5172523,4581
0x6N248570R5769022,C970
0x0L483580P8258339,07A1
0x2A111850E6455031,B461
0x8I001340R6586497,AFC1
0x1N882802Q9723117,9EA3
0x9J539570H1924830,BC34
0x4I654799B3525681,C5BE
0x8B965953B9869342,AF52
0x5H684414K9924430,014D
0x7C891136W1528671,AC93
0x1T075775A2133161,87F8
0x1J875671A5001265,942B
0x6H157521O4924424,B2BE
0x9J156389Q1173839,AE22
0x3S762821Y2656334,149E
0x5N572489J7970071,1847
0x3Y462794P8765642,1A1D
0x8H617030L6983568,572B
0x0O515847H2344476,9B68
